"County Code","District Code","School Code","Filler","Test Year","Subgroup ID","Test Type","Total CAASPP Enrollment","Total Tested At Entity Level","Total Tested at Subgroup Level","Grade","Test Id","CAASPP Reported Enrollment","Students Tested","Mean Scale Score","Percentage Standard Exceeded","Percentage Standard Met","Percentage Standard Met and Above","Percentage Standard Nearly Met","Percentage Standard Not Met","Students with Scores","Area 1 Percentage Above Standard","Area 1 Percentage At or Near Standard","Area 1 Percentage Below Standard","Area 2 Percentage Above Standard","Area 2 Percentage At or Near Standard","Area 2 Percentage Below Standard","Area 3 Percentage Above Standard","Area 3 Percentage At or Near Standard","Area 3 Percentage Below Standard","Area 4 Percentage Above Standard","Area 4 Percentage At or Near Standard","Area 4 Percentage Below Standard"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,3,"2",753,726,"2453.8","33","28","61","19","20",723,"43","32","25","40","37","23","39","42","19","0","0","0"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,3,"1",753,721,"2435.4","32","22","54","21","25",714,"34","39","28","27","46","27","29","54","18","28","49","23"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,4,"1",691,671,"2481.1","35","22","57","15","27",666,"30","44","26","33","43","23","27","55","17","32","48","20"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,4,"2",691,671,"2496.2","30","29","58","25","17",665,"42","32","26","34","42","24","34","42","24","0","0","0"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,5,"2",728,702,"2532.8","37","19","55","22","22",700,"42","27","30","34","42","24","33","45","22","0","0","0"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,5,"1",728,691,"2531.5","36","28","64","15","21",688,"38","39","22","41","36","23","28","56","17","43","44","13"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,6,"1",721,696,"2549.9","26","34","60","21","18",687,"30","46","24","33","45","22","24","65","11","35","54","11"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,6,"2",721,701,"2542.6","28","24","52","25","24",697,"31","37","32","29","47","24","29","48","23","0","0","0"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,7,"2",689,653,"2555.6","29","21","50","24","27",649,"35","29","36","31","43","26","32","55","13","0","0","0"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,7,"1",689,643,"2546.2","19","32","51","19","30",637,"28","39","32","28","42","30","21","57","22","27","50","23"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,8,"1",639,612,"2582.4","21","36","57","25","18",606,"33","45","22","32","46","23","20","65","15","34","50","16"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,8,"2",639,615,"2589.8","30","25","55","22","22",613,"38","37","25","33","49","18","30","53","17","0","0","0"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,11,"2",858,714,"2596.8","20","23","43","23","34",613,"34","30","35","21","49","30","22","56","22","0","0","0"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,11,"1",858,725,"2616.7","39","25","64","16","20",614,"50","34","16","46","35","20","30","55","15","47","42","11"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,13,"1",5079,4759,"","30","28","58","19","23",4612,"35","41","24","34","42","24","25","58","16","35","48","17"
"01","61143","0000000",,2015,1,"B",5932,5599,5599,13,"2",5079,4782,"","30","24","54","23","23",4660,"38","32","30","32","44","24","31","48","20","0","0","0"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,3,"1",753,395,"2430.5","29","24","53","21","26",391,"30","40","30","24","50","27","27","56","17","27","49","24"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,3,"2",753,397,"2457.8","36","28","64","17","19",396,"49","28","22","42","35","23","42","39","20","0","0","0"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,4,"2",691,353,"2497.8","32","26","58","25","17",351,"44","28","27","35","41","24","33","42","25","0","0","0"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,4,"1",691,353,"2467.6","32","19","50","17","32",351,"27","40","32","27","45","28","29","51","21","30","47","24"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,5,"1",728,358,"2516.5","32","29","60","15","25",358,"34","40","26","35","36","29","27","54","19","37","46","17"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,5,"2",728,365,"2527.0","36","19","55","19","26",365,"43","24","34","35","38","27","33","42","26","0","0","0"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,6,"2",721,350,"2543.4","28","24","52","24","24",347,"32","36","32","31","45","24","28","51","21","0","0","0"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,6,"1",721,346,"2537.9","22","34","56","22","22",340,"28","46","26","28","45","27","23","64","13","29","59","12"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,7,"1",689,327,"2534.4","17","30","47","18","34",323,"29","35","36","23","43","34","20","57","23","25","47","28"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,7,"2",689,334,"2555.3","29","21","50","23","27",330,"35","29","36","32","43","25","31","55","14","0","0","0"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,8,"2",639,301,"2591.9","30","24","54","24","22",301,"39","35","26","34","50","16","30","55","15","0","0","0"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,8,"1",639,299,"2569.4","15","36","52","27","21",297,"29","46","25","28","47","25","16","69","16","29","52","19"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,11,"1",858,379,"2604.1","35","26","61","16","23",312,"47","34","19","39","38","23","28","54","18","41","46","13"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,11,"2",858,379,"2581.7","19","20","39","22","39",323,"31","29","40","21","45","34","19","54","27","0","0","0"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,13,"2",5079,2479,"","30","23","54","22","25",2413,"40","30","31","33","42","25","31","48","21","0","0","0"
"01","61143","0000000",,2015,3,"B",5932,5599,2887,13,"1",5079,2457,"","26","28","54","19","26",2372,"32","40","28","29","43","28","24","58","18","31","49","20"
"01","61143","0000000",,2015,4,"B",5932,5599,2712,3,"2",753,329,"2448.9","28","29","57","21","22",327,"35","37","28","37","40","24","35","47","18","0","0","0"
"01","61143","0000000",,2015,4,"B",5932,5599,2712,3,"1",753,326,"2441.2","34","20","54","20","25",323,"38","38","25","31","41","28","31","50","19","30","49","21"
