"County Code","District Code","School Code","Filler","Test Year","Type Id","County Name","District Name","School Name","Zip Code"
"00","00000","0000000",,"2016","4","State of California","","","     "
"01","00000","0000000",,"2016","5","Alameda","","","     "
"01","10017","0000000",,"2016","6","Alameda","Alameda County Office Of Education","","     "
"01","10017","0112607",,"2016","9","Alameda","Envision Academy For Arts & Technology","Envision Academy For Arts & Technology","94612"
"01","10017","0123968",,"2016","9","Alameda","Community School For Creative Education","Community School For Creative Education","94606"
"01","10017","0124172",,"2016","10","Alameda","Alameda County Office Of Education","Yu Ming Charter","94608"
"01","10017","0125567",,"2016","9","Alameda","Urban Montessori Charter","Urban Montessori Charter","94619"
"01","10017","0130401",,"2016","7","Alameda","Alameda County Office Of Education","Alameda County Juvenile Hall/Court","94578"
"01","10017","0130419",,"2016","7","Alameda","Alameda County Office Of Education","Alameda County Community","94544"
"01","10017","0131581",,"2016","9","Alameda","Oakland Unity Middle","Oakland Unity Middle","94605"
"01","10017","6001788",,"2016","9","Alameda","Cox Academy","Cox Academy","94603"
"01","10017","6002000",,"2016","9","Alameda","Lazear Charter Academy","Lazear Charter Academy","94601"
"01","31609","0000000",,"2016","6","Alameda","California School For The Blind (State S","","     "
"01","31609","0131755",,"2016","7","Alameda","California School For The Blind (State S","California School For The Blind","94536"
"01","31617","0000000",,"2016","6","Alameda","California School For The Deaf-Fremont (","","     "
"01","31617","0131763",,"2016","7","Alameda","California School For The Deaf-Fremont (","California School For The Deaf-Fremont","94538"
"01","61119","0000000",,"2016","6","Alameda","Alameda Unified","","     "
"01","61119","0106401",,"2016","7","Alameda","Alameda Unified","Alameda Science And Technology Institute","94501"
"01","61119","0111765",,"2016","7","Alameda","Alameda Unified","Ruby Bridges Elementary","94501"
"01","61119","0119222",,"2016","9","Alameda","Nea Community Learning Center","Nea Community Learning Center","94501"
"01","61119","0122085",,"2016","9","Alameda","The Academy Of Alameda","The Academy Of Alameda","94501"
"01","61119","0126656",,"2016","7","Alameda","Alameda Unified","Maya Lin","94501"
"01","61119","0130229",,"2016","7","Alameda","Alameda Unified","Alameda High","94501"
"01","61119","0130609",,"2016","9","Alameda","Alameda Community Learning Center","Alameda Community Learning Center","94501"
"01","61119","0130625",,"2016","9","Alameda","Alternatives In Action","Alternatives In Action","94621"
