"County Code","District Code","School Code","Filler","Test Year","Subgroup ID","Test Type","Total CAASPP Enrollment","Total Tested At Entity Level","Total Tested with Scores","Grade","Test Id","CAASPP Reported Enrollment","Students Tested","Mean Scale Score","Percentage Standard Exceeded","Percentage Standard Met","Percentage Standard Met and Above","Percentage Standard Nearly Met","Percentage Standard Not Met","Students with Scores","Area 1 Percentage Above Standard","Area 1 Percentage Near Standard","Area 1 Percentage Below Standard","Area 2 Percentage Above Standard","Area 2 Percentage Near Standard","Area 2 Percentage Below Standard","Area 3 Percentage Above Standard","Area 3 Percentage Near Standard","Area 3 Percentage Below Standard","Area 4 Percentage Above Standard","Area 4 Percentage Near Standard","Area 4 Percentage Below Standard"
"01","61143","0000000",,2016,1,"B",5214,"4779",4661,3,"2",745,"702","2470.3","37","33","70","17","13","698","53","32","16","44","41","15","46","43","10","0","0","0"
"01","61143","0000000",,2016,1,"B",5214,"4750",4639,3,"1",745,"693","2456.9","41","21","62","19","19","689","38","39","23","37","41","22","32","55","12","34","49","17"
"01","61143","0000000",,2016,1,"B",5214,"4750",4639,4,"1",762,"704","2481.9","33","23","57","17","26","694","32","44","24","33","43","24","23","62","15","28","51","21"
"01","61143","0000000",,2016,1,"B",5214,"4779",4661,4,"2",762,"715","2495.7","30","28","58","24","18","711","43","28","29","34","42","24","38","39","23","0","0","0"
"01","61143","0000000",,2016,1,"B",5214,"4779",4661,5,"2",700,"684","2535.1","38","20","57","22","21","677","45","27","28","35","40","25","33","42","26","0","0","0"
"01","61143","0000000",,2016,1,"B",5214,"4750",4639,5,"1",700,"673","2532.9","35","29","64","16","20","670","37","39","24","41","41","18","29","54","17","42","47","11"
"01","61143","0000000",,2016,1,"B",5214,"4750",4639,6,"1",714,"663","2561.4","34","33","67","17","17","653","36","41","23","42","40","19","27","63","10","43","49","8"
"01","61143","0000000",,2016,1,"B",5214,"4779",4661,6,"2",714,"666","2568.5","38","24","62","19","18","656","41","32","26","40","41","20","40","45","15","0","0","0"
"01","61143","0000000",,2016,1,"B",5214,"4779",4661,7,"2",751,"682","2567.6","31","26","57","22","21","672","41","32","27","35","43","21","39","44","17","0","0","0"
"01","61143","0000000",,2016,1,"B",5214,"4750",4639,7,"1",751,"677","2574.7","25","37","63","18","19","671","34","42","23","38","42","19","25","65","10","35","49","16"
"01","61143","0000000",,2016,1,"B",5214,"4750",4639,8,"1",685,"614","2568.0","21","31","52","23","25","604","33","39","29","29","40","30","22","60","18","29","49","22"
"01","61143","0000000",,2016,1,"B",5214,"4779",4661,8,"2",685,"614","2578.6","30","19","49","23","28","607","38","32","30","33","42","25","31","48","21","0","0","0"
"01","61143","0000000",,2016,1,"B",5214,"4779",4661,11,"2",857,"716","2614.7","25","25","49","20","31","640","36","29","35","29","45","26","33","47","20","0","0","0"
"01","61143","0000000",,2016,1,"B",5214,"4750",4639,11,"1",857,"726","2627.7","36","32","69","19","13","658","49","39","12","39","43","18","33","58","9","47","42","11"
"01","61143","0000000",,2016,1,"B",5214,"4750",4639,13,"1",5214,"4750","","32","29","62","18","20","4639","37","41","23","37","42","21","28","60","13","37","48","15"
"01","61143","0000000",,2016,1,"B",5214,"4779",4661,13,"2",5214,"4779","","33","25","58","21","21","4661","43","30","27","36","42","22","37","44","19","0","0","0"
"01","61143","0000000",,2016,3,"B",2681,"2432",2374,3,"1",390,"363","2446.7","35","24","59","19","22","360","33","43","24","30","44","27","32","56","12","31","48","20"
"01","61143","0000000",,2016,3,"B",2681,"2449",2375,3,"2",390,"369","2473.8","42","30","71","16","12","366","56","28","16","48","37","15","47","41","12","0","0","0"
"01","61143","0000000",,2016,3,"B",2681,"2449",2375,4,"2",399,"378","2504.5","34","29","62","22","16","376","51","24","25","39","40","21","41","38","21","0","0","0"
"01","61143","0000000",,2016,3,"B",2681,"2432",2374,4,"1",399,"375","2476.7","31","25","56","17","27","367","30","45","25","29","48","23","25","58","16","25","53","23"
"01","61143","0000000",,2016,3,"B",2681,"2432",2374,5,"1",369,"346","2513.6","28","26","54","18","27","345","31","37","32","29","47","25","27","54","19","35","50","15"
"01","61143","0000000",,2016,3,"B",2681,"2449",2375,5,"2",369,"354","2535.1","39","20","59","19","22","350","47","26","27","35","37","27","33","42","25","0","0","0"
"01","61143","0000000",,2016,3,"B",2681,"2449",2375,6,"2",363,"340","2567.6","39","24","63","18","19","330","40","34","26","41","39","20","40","44","16","0","0","0"
"01","61143","0000000",,2016,3,"B",2681,"2432",2374,6,"1",363,"336","2545.6","29","33","62","18","20","330","32","42","27","35","41","24","23","65","12","39","50","11"
"01","61143","0000000",,2016,3,"B",2681,"2432",2374,7,"1",380,"338","2558.3","19","39","58","18","24","336","32","41","27","30","46","24","20","67","12","28","53","18"
"01","61143","0000000",,2016,3,"B",2681,"2449",2375,7,"2",380,"341","2572.9","35","25","60","20","20","335","44","29","27","39","41","20","42","42","16","0","0","0"
"01","61143","0000000",,2016,3,"B",2681,"2449",2375,8,"2",348,"313","2573.4","30","17","47","22","31","309","36","32","32","33","41","26","30","47","23","0","0","0"
"01","61143","0000000",,2016,3,"B",2681,"2432",2374,8,"1",348,"313","2551.2","17","29","47","22","31","309","31","35","34","26","37","37","20","59","20","24","48","28"
"01","61143","0000000",,2016,3,"B",2681,"2432",2374,11,"1",432,"361","2624.0","37","31","68","17","15","327","50","38","12","37","43","20","34","55","10","44","44","12"
"01","61143","0000000",,2016,3,"B",2681,"2449",2375,11,"2",432,"354","2623.3","29","25","54","18","28","309","39","28","33","35","44","22","39","42","19","0","0","0"
"01","61143","0000000",,2016,3,"B",2681,"2449",2375,13,"2",2681,"2449","","35","24","60","19","21","2375","45","29","26","39","40","22","39","42","19","0","0","0"
"01","61143","0000000",,2016,3,"B",2681,"2432",2374,13,"1",2681,"2432","","28","29","58","19","24","2374","34","40","26","31","44","26","26","59","15","32","49","18"
"01","61143","0000000",,2016,4,"B",2533,"2330",2286,3,"2",355,"333","2466.4","32","36","68","19","13","332","49","36","15","40","45","15","46","46","8","0","0","0"
"01","61143","0000000",,2016,4,"B",2533,"2318",2265,3,"1",355,"330","2468.1","47","18","65","18","16","329","43","36","21","46","38","17","33","54","13","37","50","13"
"01","61143","0000000",,2016,4,"B",2533,"2318",2265,4,"1",363,"329","2487.7","36","22","57","17","25","327","34","42","24","37","38","25","21","66","13","33","49","19"
"01","61143","0000000",,2016,4,"B",2533,"2330",2286,4,"2",363,"337","2485.9","25","27","53","26","21","335","34","33","33","28","45","27","35","41","24","0","0","0"
"01","61143","0000000",,2016,4,"B",2533,"2330",2286,5,"2",331,"330","2535.1","36","20","55","25","20","327","43","28","29","34","43","23","32","42","26","0","0","0"
"01","61143","0000000",,2016,4,"B",2533,"2318",2265,5,"1",331,"327","2553.5","42","32","74","13","13","325","44","41","15","53","35","12","32","53","15","48","45","7"
"01","61143","0000000",,2016,4,"B",2533,"2318",2265,6,"1",351,"327","2577.6","38","33","72","15","13","323","40","41","19","49","38","13","31","62","7","48","47","5"
"01","61143","0000000",,2016,4,"B",2533,"2330",2286,6,"2",351,"326","2569.4","37","25","62","21","17","326","43","30","27","38","42","20","40","46","14","0","0","0"
"01","61143","0000000",,2016,4,"B",2533,"2330",2286,7,"2",371,"341","2562.3","27","27","55","24","21","337","37","35","28","32","46","22","36","46","18","0","0","0"
"01","61143","0000000",,2016,4,"B",2533,"2318",2265,7,"1",371,"339","2591.1","32","36","68","18","15","335","37","44","19","47","39","14","29","63","8","41","45","13"
"01","61143","0000000",,2016,4,"B",2533,"2318",2265,8,"1",337,"301","2585.6","25","32","58","23","19","295","35","43","22","33","44","23","24","61","15","34","51","15"
"01","61143","0000000",,2016,4,"B",2533,"2330",2286,8,"2",337,"301","2584.0","30","21","51","24","24","298","39","33","28","33","43","24","31","48","20","0","0","0"
"01","61143","0000000",,2016,4,"B",2533,"2330",2286,11,"2",425,"362","2606.6","21","24","45","21","34","331","34","29","37","24","45","31","27","52","21","0","0","0"
"01","61143","0000000",,2016,4,"B",2533,"2318",2265,11,"1",425,"365","2631.4","35","34","69","20","11","331","47","40","13","41","43","15","32","60","9","49","40","10"
"01","61143","0000000",,2016,4,"B",2533,"2318",2265,13,"1",2533,"2318","","37","30","66","18","16","2265","40","41","19","44","39","17","29","60","11","42","47","12"
"01","61143","0000000",,2016,4,"B",2533,"2330",2286,13,"2",2533,"2330","","30","26","56","23","22","2286","40","32","28","33","44","23","35","46","19","0","0","0"
