"County Code","District Code","School Code","Filler","Test Year","Subgroup ID","Test Type","Total Tested At Entity Level","Total Tested with Scores","Grade","Test Id","CAASPP Reported Enrollment","Students Tested","Mean Scale Score","Percentage Standard Exceeded","Percentage Standard Met","Percentage Standard Met and Above","Percentage Standard Nearly Met","Percentage Standard Not Met","Students with Scores","Area 1 Percentage Above Standard","Area 1 Percentage Near Standard","Area 1 Percentage Below Standard","Area 2 Percentage Above Standard","Area 2 Percentage Near Standard","Area 2 Percentage Below Standard","Area 3 Percentage Above Standard","Area 3 Percentage Near Standard","Area 3 Percentage Below Standard","Area 4 Percentage Above Standard","Area 4 Percentage Near Standard","Area 4 Percentage Below Standard"
"01","61143","0000000",,2017,1,"B","4717","4697",3,"1","783","726","2447.6","36.64","22.31","58.95","20.39","20.66","726","36.28","38.07","25.66","34.02","42.74","23.24","29.93","54.76","15.31","35.59","43.86","20.55"
"01","61143","0000000",,2017,1,"B","4697","4693",3,"2","783","736","2463.6","36.01","28.94","64.95","17.53","17.53","736","50.48","27.83","21.69","42.37","39.92","17.71","42.84","39.70","17.46","0.00","0.00","0.00"
"01","61143","0000000",,2017,1,"B","4717","4697",4,"1","726","691","2494.2","38.93","21.42","60.35","18.23","21.42","691","37.77","44.86","17.37","35.89","42.84","21.27","26.77","53.11","20.12","33.57","50.22","16.21"
"01","61143","0000000",,2017,1,"B","4697","4693",4,"2","726","696","2497.7","31.18","27.87","59.05","22.84","18.10","696","42.53","31.03","26.44","35.63","42.39","21.98","37.93","39.80","22.27","0.00","0.00","0.00"
"01","61143","0000000",,2017,1,"B","4697","4693",5,"2","755","715","2525.2","34.97","18.88","53.85","20.00","26.15","715","43.56","23.39","33.05","33.57","39.72","26.71","30.95","39.64","29.41","0.00","0.00","0.00"
"01","61143","0000000",,2017,1,"B","4717","4697",5,"1","755","706","2519.9","33.48","26.24","59.72","14.61","25.67","705","37.78","36.65","25.57","39.63","38.49","21.88","28.13","55.68","16.19","33.24","42.90","23.86"
"01","61143","0000000",,2017,1,"B","4697","4693",6,"2","704","672","2558.2","34.52","24.85","59.38","20.09","20.54","672","42.00","30.04","27.95","35.57","41.52","22.92","35.12","39.73","25.15","0.00","0.00","0.00"
"01","61143","0000000",,2017,1,"B","4717","4697",6,"1","704","668","2551.1","30.53","31.28","61.80","19.25","18.95","665","37.56","41.18","21.27","36.50","39.67","23.83","28.05","59.58","12.37","39.37","41.48","19.16"
"01","61143","0000000",,2017,1,"B","4697","4693",7,"2","695","649","2579.0","36.22","23.22","59.44","19.20","21.36","646","45.70","27.55","26.75","38.45","39.38","22.17","40.13","43.26","16.61","0.00","0.00","0.00"
"01","61143","0000000",,2017,1,"B","4717","4697",7,"1","695","648","2585.8","32.81","34.68","67.50","14.93","17.57","643","46.54","34.59","18.87","44.27","36.15","19.59","28.35","57.17","14.49","42.72","41.77","15.51"
"01","61143","0000000",,2017,1,"B","4717","4697",8,"1","728","682","2589.8","27.43","34.37","61.80","19.62","18.58","678","39.64","39.20","21.15","35.22","40.27","24.52","27.22","60.21","12.57","36.74","47.26","16.00"
"01","61143","0000000",,2017,1,"B","4697","4693",8,"2","728","684","2597.7","36.55","23.25","59.80","18.57","21.64","684","42.62","33.23","24.14","38.16","37.87","23.98","39.94","43.34","16.72","0.00","0.00","0.00"
"01","61143","0000000",,2017,1,"B","4697","4693",11,"2","775","545","2589.2","21.88","18.75","40.63","21.69","37.68","544","31.37","25.83","42.80","22.55","36.97","40.48","23.76","50.64","25.60","0.00","0.00","0.00"
"01","61143","0000000",,2017,1,"B","4717","4697",11,"1","775","596","2597.3","30.22","27.50","57.72","18.85","23.43","589","40.27","36.69","23.04","30.42","41.26","28.32","33.62","49.66","16.72","32.25","46.42","21.33"
"01","61143","0000000",,2017,1,"B","4697","4693",13,"2","5166","4697","","33.39","23.87","57.26","19.92","22.82","4693","43.00","28.45","28.54","35.61","39.77","24.62","36.17","41.99","21.83","0.00","0.00","0.00"
"01","61143","0000000",,2017,1,"B","4717","4697",13,"1","5166","4717","","32.98","28.12","61.10","17.99","20.91","4697","39.29","38.82","21.90","36.61","40.24","23.14","28.78","55.81","15.41","36.18","44.85","18.97"
"01","61143","0000000",,2017,3,"B","2423","2420",3,"2","407","377","2463.5","38.46","26.79","65.25","16.71","18.04","377","52.39","26.60","21.01","45.48","37.50","17.02","41.76","39.10","19.15","0.00","0.00","0.00"
"01","61143","0000000",,2017,3,"B","2422","2415",3,"1","407","372","2436.4","30.65","24.19","54.84","21.51","23.66","372","31.72","39.25","29.03","29.84","43.55","26.61","25.54","56.45","18.01","31.18","46.24","22.58"
"01","61143","0000000",,2017,3,"B","2422","2415",4,"1","376","363","2483.5","35.26","20.66","55.92","18.18","25.90","363","34.44","44.35","21.21","28.65","46.83","24.52","25.34","51.24","23.42","31.68","51.52","16.80"
"01","61143","0000000",,2017,3,"B","2423","2420",4,"2","376","364","2504.0","35.99","25.55","61.54","20.88","17.58","364","44.78","32.42","22.80","41.48","38.19","20.33","40.66","37.36","21.98","0.00","0.00","0.00"
"01","61143","0000000",,2017,3,"B","2422","2415",5,"1","400","373","2514.2","32.53","26.08","58.60","13.17","28.23","372","37.47","33.96","28.57","36.93","37.74","25.34","28.30","54.45","17.25","34.77","39.89","25.34"
"01","61143","0000000",,2017,3,"B","2423","2420",5,"2","400","380","2534.7","40.00","18.68","58.68","17.11","24.21","380","50.13","20.32","29.55","38.42","36.32","25.26","35.36","37.47","27.18","0.00","0.00","0.00"
"01","61143","0000000",,2017,3,"B","2423","2420",6,"2","380","358","2549.6","32.96","24.86","57.82","18.72","23.46","358","41.29","26.69","32.02","34.64","38.83","26.54","31.28","40.50","28.21","0.00","0.00","0.00"
"01","61143","0000000",,2017,3,"B","2422","2415",6,"1","380","357","2531.2","26.40","26.97","53.37","21.63","25.00","356","34.18","38.70","27.12","29.38","39.55","31.07","24.29","59.60","16.10","31.36","44.07","24.58"
"01","61143","0000000",,2017,3,"B","2422","2415",7,"1","357","335","2571.6","29.43","33.93","63.36","15.32","21.32","333","43.47","35.26","21.28","36.31","39.38","24.31","27.74","55.79","16.46","38.23","43.43","18.35"
"01","61143","0000000",,2017,3,"B","2423","2420",7,"2","357","338","2580.3","36.90","22.92","59.82","18.75","21.43","336","45.06","28.09","26.85","40.60","36.72","22.69","41.52","41.52","16.97","0.00","0.00","0.00"
"01","61143","0000000",,2017,3,"B","2423","2420",8,"2","367","346","2593.4","35.26","23.70","58.96","18.50","22.54","346","40.18","35.48","24.34","37.57","38.44","23.99","38.01","43.86","18.13","0.00","0.00","0.00"
"01","61143","0000000",,2017,3,"B","2422","2415",8,"1","367","342","2571.9","19.59","35.67","55.26","21.64","23.10","342","34.31","41.35","24.34","28.40","41.12","30.47","23.75","62.17","14.08","30.21","48.68","21.11"
"01","61143","0000000",,2017,3,"B","2423","2420",11,"2","362","260","2590.9","25.48","18.53","44.02","15.44","40.54","259","36.96","20.23","42.80","25.78","32.81","41.41","27.52","45.74","26.74","0.00","0.00","0.00"
"01","61143","0000000",,2017,3,"B","2422","2415",11,"1","362","280","2587.7","30.69","24.19","54.87","18.41","26.71","277","40.94","30.43","28.62","27.99","39.93","32.09","32.97","48.19","18.84","31.88","42.75","25.36"
"01","61143","0000000",,2017,3,"B","2423","2420",13,"2","2649","2423","","35.45","23.18","58.64","18.10","23.26","2420","44.85","27.28","27.87","38.26","37.14","24.60","36.93","40.51","22.56","0.00","0.00","0.00"
"01","61143","0000000",,2017,3,"B","2422","2415",13,"1","2649","2422","","29.28","27.33","56.60","18.55","24.84","2415","36.41","37.86","25.73","31.16","41.24","27.60","26.65","55.59","17.75","32.74","45.30","21.96"
"01","61143","0000000",,2017,4,"B","2274","2273",3,"2","376","359","2463.7","33.43","31.20","64.62","18.38","16.99","359","48.46","29.13","22.41","39.11","42.46","18.44","43.98","40.34","15.69","0.00","0.00","0.00"
"01","61143","0000000",,2017,4,"B","2295","2282",3,"1","376","354","2459.4","42.94","20.34","63.28","19.21","17.51","354","41.08","36.83","22.10","38.46","41.88","19.66","34.56","52.97","12.46","40.23","41.36","18.41"
"01","61143","0000000",,2017,4,"B","2274","2273",4,"2","350","332","2490.7","25.90","30.42","56.33","25.00","18.67","332","40.06","29.52","30.42","29.22","46.99","23.80","34.94","42.47","22.59","0.00","0.00","0.00"
"01","61143","0000000",,2017,4,"B","2295","2282",4,"1","350","328","2506.0","42.99","22.26","65.24","18.29","16.46","328","41.46","45.43","13.11","43.90","38.41","17.68","28.35","55.18","16.46","35.67","48.78","15.55"
"01","61143","0000000",,2017,4,"B","2274","2273",5,"2","355","335","2514.4","29.25","19.10","48.36","23.28","28.36","335","36.12","26.87","37.01","28.06","43.58","28.36","25.97","42.09","31.94","0.00","0.00","0.00"
"01","61143","0000000",,2017,4,"B","2295","2282",5,"1","355","333","2526.3","34.53","26.43","60.96","16.22","22.82","333","38.14","39.64","22.22","42.64","39.34","18.02","27.93","57.06","15.02","31.53","46.25","22.22"
"01","61143","0000000",,2017,4,"B","2274","2273",6,"2","324","314","2568.0","36.31","24.84","61.15","21.66","17.20","314","42.81","33.87","23.32","36.62","44.59","18.79","39.49","38.85","21.66","0.00","0.00","0.00"
"01","61143","0000000",,2017,4,"B","2295","2282",6,"1","324","311","2574.1","35.28","36.25","71.52","16.50","11.97","309","41.42","44.01","14.56","44.66","39.81","15.53","32.36","59.55","8.09","48.54","38.51","12.94"
"01","61143","0000000",,2017,4,"B","2295","2282",7,"1","338","313","2601.1","36.45","35.48","71.94","14.52","13.55","310","49.84","33.88","16.29","52.81","32.67","14.52","28.99","58.63","12.38","47.54","40.00","12.46"
"01","61143","0000000",,2017,4,"B","2274","2273",7,"2","338","311","2577.6","35.48","23.55","59.03","19.68","21.29","310","46.38","26.97","26.64","36.13","42.26","21.61","38.64","45.13","16.23","0.00","0.00","0.00"
"01","61143","0000000",,2017,4,"B","2274","2273",8,"2","361","338","2602.0","37.87","22.78","60.65","18.64","20.71","338","45.15","30.91","23.94","38.76","37.28","23.96","41.92","42.81","15.27","0.00","0.00","0.00"
"01","61143","0000000",,2017,4,"B","2295","2282",8,"1","361","340","2608.1","35.42","33.04","68.45","17.56","13.99","336","45.07","37.01","17.91","42.09","39.40","18.51","30.75","58.21","11.04","43.41","45.81","10.78"
"01","61143","0000000",,2017,4,"B","2295","2282",11,"1","413","316","2605.8","29.81","30.45","60.26","19.23","20.51","312","39.68","42.26","18.06","32.57","42.43","25.00","34.19","50.97","14.84","32.58","49.68","17.74"
"01","61143","0000000",,2017,4,"B","2274","2273",11,"2","413","285","2587.7","18.60","18.95","37.54","27.37","35.09","285","26.32","30.88","42.81","19.65","40.70","39.65","20.35","55.09","24.56","0.00","0.00","0.00"
"01","61143","0000000",,2017,4,"B","2274","2273",13,"2","2517","2274","","31.19","24.59","55.79","21.87","22.35","2273","41.05","29.70","29.26","32.79","42.56","24.65","35.36","43.58","21.06","0.00","0.00","0.00"
"01","61143","0000000",,2017,4,"B","2295","2282",13,"1","2517","2295","","36.90","28.97","65.86","17.40","16.74","2282","42.33","39.82","17.85","42.38","39.20","18.43","31.03","56.04","12.92","39.83","44.37","15.80"
"01","61143","0000000",,2017,6,"B","4251","4234",3,"1","663","633","2459.0","41.71","22.91","64.61","18.64","16.75","633","40.98","37.50","21.52","38.41","42.06","19.52","33.07","54.91","12.03","39.56","43.51","16.93"
"01","61143","0000000",,2017,6,"B","4197","4193",3,"2","663","633","2473.0","40.13","29.54","69.67","15.48","14.85","633","55.63","25.52","18.86","46.75","38.19","15.06","48.02","37.40","14.58","0.00","0.00","0.00"
"01","61143","0000000",,2017,6,"B","4197","4193",4,"2","609","595","2507.9","35.46","29.08","64.54","20.84","14.62","595","46.72","31.26","22.02","39.33","42.69","17.98","41.85","38.82","19.33","0.00","0.00","0.00"
"01","61143","0000000",,2017,6,"B","4251","4234",4,"1","609","595","2507.3","44.54","22.35","66.89","16.64","16.47","595","43.36","42.86","13.78","41.18","42.52","16.30","30.76","52.27","16.97","37.48","49.92","12.61"
"01","61143","0000000",,2017,6,"B","4197","4193",5,"2","660","631","2532.7","38.35","19.33","57.69","18.86","23.45","631","47.46","22.86","29.68","36.93","39.14","23.93","34.13","38.57","27.30","0.00","0.00","0.00"
"01","61143","0000000",,2017,6,"B","4251","4234",5,"1","660","632","2528.8","36.77","27.10","63.87","13.63","22.50","631","41.59","35.87","22.54","43.02","37.78","19.21","30.63","55.08","14.29","35.71","43.02","21.27"
"01","61143","0000000",,2017,6,"B","4251","4234",6,"1","629","604","2562.4","33.22","33.89","67.11","18.11","14.78","602","40.50","42.17","17.33","40.00","41.17","18.83","30.17","60.50","9.33","43.00","41.17","15.83"
"01","61143","0000000",,2017,6,"B","4197","4193",6,"2","629","604","2566.8","37.42","25.50","62.91","20.36","16.72","604","45.02","30.73","24.25","38.25","41.89","19.87","37.91","40.23","21.85","0.00","0.00","0.00"
"01","61143","0000000",,2017,6,"B","4197","4193",7,"2","634","591","2588.0","38.61","24.49","63.10","18.37","18.54","588","48.60","27.37","24.04","41.40","39.69","18.91","42.93","43.10","13.97","0.00","0.00","0.00"
"01","61143","0000000",,2017,6,"B","4251","4234",7,"1","634","594","2595.3","35.48","36.33","71.82","13.07","15.11","589","49.91","34.13","15.95","47.83","35.65","16.52","30.58","57.39","12.03","45.60","41.28","13.13"
"01","61143","0000000",,2017,6,"B","4197","4193",8,"2","665","633","2605.4","38.86","24.64","63.51","16.59","19.91","633","45.25","32.85","21.90","40.76","37.60","21.64","42.33","42.33","15.34","0.00","0.00","0.00"
"01","61143","0000000",,2017,6,"B","4251","4234",8,"1","665","636","2597.6","29.34","35.96","65.30","18.93","15.77","634","42.18","39.34","18.48","37.46","40.63","21.90","28.91","60.03","11.06","38.92","46.52","14.56"
"01","61143","0000000",,2017,6,"B","4197","4193",11,"2","719","510","2597.1","23.18","19.45","42.63","22.20","35.17","509","32.94","26.82","40.24","23.91","38.34","37.75","25.20","49.80","25.00","0.00","0.00","0.00"
"01","61143","0000000",,2017,6,"B","4251","4234",11,"1","719","557","2605.5","32.36","28.36","60.73","18.91","20.36","550","42.70","36.31","20.99","32.40","42.13","25.47","35.77","49.09","15.15","33.94","46.90","19.16"
"01","61143","0000000",,2017,6,"B","4197","4193",13,"2","4579","4197","","36.35","24.68","61.03","18.84","20.13","4193","46.29","28.20","25.51","38.57","39.65","21.78","39.24","41.23","19.53","0.00","0.00","0.00"
"01","61143","0000000",,2017,6,"B","4251","4234",13,"1","4579","4251","","36.23","29.55","65.78","16.84","17.38","4234","42.98","38.33","18.69","40.10","40.27","19.62","31.35","55.71","12.94","39.18","44.59","16.22"
"01","61143","0000000",,2017,7,"B","346","346",3,"2","60","59","2466.9","23.73","44.07","67.80","27.12","5.08","59","52.54","35.59","11.86","35.59","55.93","8.47","35.59","55.93","8.47","0.00","0.00","0.00"
"01","61143","0000000",,2017,7,"B","353","352",3,"1","60","59","2451.5","32.20","33.90","66.10","20.34","13.56","59","37.29","44.07","18.64","22.03","57.63","20.34","33.90","57.63","8.47","30.51","57.63","11.86"
"01","61143","0000000",,2017,7,"B","353","352",4,"1","30","28","2507.4","53.57","10.71","64.29","25.00","10.71","28","35.71","60.71","3.57","32.14","46.43","21.43","21.43","64.29","14.29","42.86","50.00","7.14"
"01","61143","0000000",,2017,7,"B","346","346",4,"2","30","28","2522.2","39.29","32.14","71.43","25.00","3.57","28","50.00","35.71","14.29","46.43","50.00","3.57","46.43","39.29","14.29","0.00","0.00","0.00"
"01","61143","0000000",,2017,7,"B","353","352",5,"1","50","49","2536.0","36.73","32.65","69.39","12.24","18.37","49","42.86","42.86","14.29","48.98","36.73","14.29","22.45","65.31","12.24","28.57","59.18","12.24"
"01","61143","0000000",,2017,7,"B","346","346",5,"2","50","48","2544.1","35.42","25.00","60.42","20.83","18.75","48","50.00","29.17","20.83","35.42","52.08","12.50","27.08","47.92","25.00","0.00","0.00","0.00"
"01","61143","0000000",,2017,7,"B","353","352",6,"1","64","62","2565.0","25.81","38.71","64.52","25.81","9.68","62","37.10","51.61","11.29","40.32","41.94","17.74","24.19","70.97","4.84","41.94","46.77","11.29"
"01","61143","0000000",,2017,7,"B","346","346",6,"2","64","62","2597.1","41.94","24.19","66.13","33.87","0.00","62","45.16","43.55","11.29","48.39","43.55","8.06","48.39","45.16","6.45","0.00","0.00","0.00"
"01","61143","0000000",,2017,7,"B","346","346",7,"2","54","53","2603.9","47.17","22.64","69.81","15.09","15.09","53","50.94","28.30","20.75","45.28","33.96","20.75","49.06","35.85","15.09","0.00","0.00","0.00"
"01","61143","0000000",,2017,7,"B","353","352",7,"1","54","52","2606.3","32.69","42.31","75.00","15.38","9.62","52","51.92","28.85","19.23","48.08","40.38","11.54","25.00","71.15","3.85","42.31","48.08","9.62"
"01","61143","0000000",,2017,7,"B","346","346",8,"2","58","56","2620.0","46.43","23.21","69.64","16.07","14.29","56","51.79","30.36","17.86","41.07","42.86","16.07","50.00","33.93","16.07","0.00","0.00","0.00"
"01","61143","0000000",,2017,7,"B","353","352",8,"1","58","56","2620.8","32.14","44.64","76.79","12.50","10.71","56","56.36","32.73","10.91","50.91","38.18","10.91","34.55","58.18","7.27","43.64","47.27","9.09"
"01","61143","0000000",,2017,7,"B","346","346",11,"2","55","40","2595.1","20.00","27.50","47.50","17.50","35.00","40","32.50","32.50","35.00","25.64","46.15","28.21","20.00","62.50","17.50","0.00","0.00","0.00"
"01","61143","0000000",,2017,7,"B","353","352",11,"1","55","47","2598.2","26.09","32.61","58.70","17.39","23.91","46","32.61","45.65","21.74","32.56","44.19","23.26","39.13","47.83","13.04","28.26","54.35","17.39"
"01","61143","0000000",,2017,7,"B","346","346",13,"2","371","346","","36.71","28.32","65.03","22.54","12.43","346","47.98","33.82","18.21","40.00","46.09","13.91","40.17","45.66","14.16","0.00","0.00","0.00"
"01","61143","0000000",,2017,7,"B","353","352",13,"1","371","353","","32.67","35.51","68.18","18.18","13.64","352","42.45","42.74","14.81","39.66","43.68","16.67","29.06","62.39","8.55","36.75","51.85","11.40"
